,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness
0,Nelson Bay,AU,1617052969,-32.7167,152.15,63.0,94,10.36,75
1,Tazovsky,RU,1617052679,67.4667,78.7,-5.67,88,5.01,100
2,Puerto Ayora,EC,1617052912,-0.7393,-90.3518,82.4,78,11.5,20
3,Khatanga,RU,1617052820,71.9667,102.5,-24.21,97,12.08,28
4,Kāvali,IN,1617052974,14.9167,79.9833,75.85,86,10.47,95
5,Cañon City,US,1617052941,38.441,-105.2424,77.0,8,23.02,1
6,Port Alfred,ZA,1617052978,-33.5906,26.891,68.94,85,23.35,85
7,Mgandu,TZ,1617052979,-5.95,34.1333,61.25,97,4.27,93
8,Rikitea,PF,1617052980,-23.1203,-134.9692,78.98,69,15.7,14
9,Albany,US,1617052982,42.6001,-73.9662,46.0,34,1.99,2
10,Qaanaaq,GL,1617052984,77.484,-69.3632,-13.68,71,7.45,43
11,Busselton,AU,1617052985,-33.65,115.3333,62.01,95,1.01,4
12,Bambous Virieux,MU,1617052987,-20.3428,57.7575,75.99,88,6.91,20
13,Ladysmith,CA,1617052741,48.9829,-123.8194,50.0,34,14.97,20
14,Kruisfontein,ZA,1617052934,-34.0033,24.7314,66.99,83,5.99,29
15,Hobart,AU,1617052813,-42.8794,147.3294,51.01,87,4.61,0
16,Souillac,MU,1617052924,-20.5167,57.5167,75.2,88,6.91,20
17,Faanui,PF,1617052835,-16.4833,-151.75,81.97,73,14.74,37
18,Katsuura,JP,1617052994,35.1333,140.3,59.0,94,5.46,60
19,Cidreira,BR,1617052996,-30.1811,-50.2056,74.55,59,9.53,2
20,Westport,US,1617052997,41.1415,-73.3579,53.6,26,13.8,1
21,Hilo,US,1617052651,19.7297,-155.09,73.99,83,9.22,90
22,Bluff,NZ,1617052779,-46.6,168.3333,54.0,97,5.7,100
23,Cherskiy,RU,1617053001,68.75,161.3,-5.06,97,7.72,100
24,Thompson,CA,1617052850,55.7435,-97.8558,12.2,85,20.71,90
25,Ushuaia,AR,1617053004,-54.8,-68.3,51.8,62,6.91,40
26,Dikson,RU,1617052716,73.5069,80.5464,-27.51,100,7.56,33
27,Chāndbāli,IN,1617053006,20.7833,86.7667,75.04,93,7.83,46
28,Nikolskoye,RU,1617053007,59.7035,30.7861,44.6,61,8.95,90
29,Agadez,NE,1617053009,19.75,10.25,68.4,11,5.57,0
30,Provideniya,RU,1617052920,64.3833,-173.3,23.0,74,4.47,75
31,George Town,MY,1617053012,5.4112,100.3354,81.0,94,3.44,40
32,Saldanha,ZA,1617053013,-33.0117,17.9442,64.4,88,2.3,0
33,Quelimane,MZ,1617053015,-17.8786,36.8883,78.8,78,4.61,75
34,Chicama,PE,1617052848,-7.8447,-79.1469,69.8,88,10.36,40
35,Hong Kong,HK,1617052987,22.2855,114.1577,78.01,87,7.31,22
36,Neiafu,TO,1617053018,-18.65,-173.9833,84.2,79,10.36,40
37,Hermanus,ZA,1617052827,-34.4187,19.2345,66.0,61,3.04,22
38,Elesbão Veloso,BR,1617053020,-6.2019,-42.1403,76.24,89,2.33,89
39,Hithadhoo,MV,1617053022,-0.6,73.0833,82.62,76,27.67,100
40,Saint Paul Harbor,US,1617053024,57.79,-152.4072,46.4,61,9.22,20
41,Avarua,CK,1617053025,-21.2078,-159.775,84.2,74,13.8,20
42,Punta Arenas,CL,1617052923,-53.15,-70.9167,48.2,93,5.75,75
43,Tshane,BW,1617053028,-24.0196,21.8684,72.03,48,9.4,83
44,Narsaq,GL,1617053029,60.9167,-46.05,24.8,50,6.91,20
